SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2834,XRP,XRP,08/05/2021 23:59,1.627185,1.54310028,1.58093989,1.56259835,6349608020,54860213883
2833,XRP,XRP,07/05/2021 23:59,1.69125827,1.51129109,1.60397992,1.58175517,10400571927,55532777769
2832,XRP,XRP,06/05/2021 23:59,1.75881964,1.54732448,1.61550712,1.60058065,16099528279,72672809671
2831,XRP,XRP,05/05/2021 23:59,1.62253647,1.37127434,1.38806972,1.61451155,13318453320,73305328518
2830,XRP,XRP,04/05/2021 23:59,1.55723142,1.33866397,1.55595423,1.39237606,12855752789,63219482673
2829,XRP,XRP,03/05/2021 23:59,1.62159853,1.5285558,1.56249349,1.5559947,7612512785,70648428004
2828,XRP,XRP,02/05/2021 23:59,1.65633093,1.53361988,1.65196036,1.56264103,6933641361,70950198082
2827,XRP,XRP,01/05/2021 23:59,1.66501101,1.529947,1.59840905,1.65102495,8206771323,74963184004
2826,XRP,XRP,30/04/2021 23:59,1.63552098,1.37646807,1.39849999,1.59167357,14160854005,72268392381
2825,XRP,XRP,29/04/2021 23:59,1.41833098,1.33094667,1.35796493,1.3993598,7633164142,63536572211
2824,XRP,XRP,28/04/2021 23:59,1.44697452,1.28870135,1.40156322,1.35860097,9272726011,61685957513
2823,XRP,XRP,27/04/2021 23:59,1.45973609,1.33118985,1.36674334,1.40095461,13584693517,63608983019
2822,XRP,XRP,26/04/2021 23:59,1.3690773,1.01692068,1.03518329,1.36850552,15417459290,62135663610
2821,XRP,XRP,25/04/2021 23:59,1.1530248,0.95291451,1.04948955,1.03225582,8573604939,46868572793
2820,XRP,XRP,24/04/2021 23:59,1.17028365,1.02441676,1.17018987,1.04870583,8586287312,47615469344
2819,XRP,XRP,23/04/2021 23:59,1.19400409,0.90107929,1.15713867,1.1696597,20235915090,53107262635
2818,XRP,XRP,22/04/2021 23:59,1.4131924,1.11908634,1.29180686,1.15968188,14899537552,52654229111
2817,XRP,XRP,21/04/2021 23:59,1.45853957,1.28282336,1.38615723,1.29649777,12545052977,58866221974
2816,XRP,XRP,20/04/2021 23:59,1.44563629,1.18622792,1.30995108,1.38329899,15562116615,62807347013
2815,XRP,XRP,19/04/2021 23:59,1.53038051,1.25830678,1.40945697,1.31504432,17637508685,59708309820
2814,XRP,XRP,18/04/2021 23:59,1.57856653,1.17466477,1.55910369,1.4059981,22933939682,63837977820
2813,XRP,XRP,17/04/2021 23:59,1.74052804,1.5415027,1.55302723,1.56005467,14507135285,70832766981
2812,XRP,XRP,16/04/2021 23:59,1.80894771,1.44954797,1.75930329,1.55752673,20594074869,70717988351
2811,XRP,XRP,15/04/2021 23:59,1.88281943,1.65810336,1.83728053,1.76606672,15403982671,80186544122
